day,hour,mean_global_load,variance_global_load,std_global_load,min_global_load,max_global_load,n_samples
2,16:00,0.811192989614,0.00725121903312,0.0851540899377,0.549457179393,0.923827199487,32
2,17:00,0.810210059516,0.00885950576514,0.0941249476236,0.533993540054,0.946093105689,32
2,18:00,0.792194334366,0.0110281999823,0.105015236905,0.499420132833,0.987894396265,32
2,19:00,0.781595765783,0.0127068399484,0.112724619974,0.50066776384,0.981062082743,32
2,20:00,0.780847612141,0.0145302121978,0.120541329832,0.498624540939,0.985879315558,32
2,21:00,0.781506998908,0.0156966709911,0.125286355965,0.475663998461,0.987069450632,32
2,22:00,0.779857366051,0.0148095682514,0.121694569523,0.48126244134,0.989706888409,32
2,23:00,0.788570262151,0.0120718081375,0.109871780442,0.555706083255,0.984475583221,32
3,00:00,0.779155090305,0.0116020539085,0.107712830751,0.521726555924,0.985870794419,40
3,01:00,0.769670349906,0.0103135609113,0.10155570349,0.529608350011,0.977588776762,40
3,02:00,0.771267343009,0.00816647255163,0.090368537399,0.573349840498,0.989513500555,40
3,03:00,0.78500537185,0.00735946423296,0.0857873197679,0.609312575044,0.987500211928,40
3,04:00,0.793058298755,0.00746889722842,0.0864227818832,0.62972337644,0.984918454455,40
3,05:00,0.8136161719,0.00654034117896,0.0808723758706,0.667383793691,0.993345788614,40
3,06:00,0.820033264311,0.00602229879281,0.0776034715255,0.656031552928,0.995632273188,40
3,07:00,0.829836012814,0.00508263496446,0.0712926010499,0.651345607885,0.988011770731,40
3,08:00,0.836259468621,0.00516165209866,0.0718446386216,0.66261747143,0.990277225447,40
3,09:00,0.848022676813,0.00507496507222,0.0712387890985,0.662527057549,0.98458693554,40
3,10:00,0.83739378395,0.00649468107468,0.0805895841575,0.661915932353,0.989190324666,40
3,11:00,0.840937671835,0.00689852217613,0.0830573426985,0.641934885281,0.988990118854,40
3,12:00,0.839290328597,0.00847189391297,0.0920428917026,0.550455143947,0.988261230477,40
3,13:00,0.83326346362,0.00849710042232,0.0921797180638,0.466286771846,0.976947199193,40
3,14:00,0.822698943336,0.00940606200805,0.0969848545292,0.428998574727,0.977528755547,40
